numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
12 10000008 5 4941.860070916667 2023531.1920001605 479.94663945289216
12 10000008 5 4977.884211833334 2008887.2248631588 378.1989953610494
12 10000008 5 4751.053259083334 2104798.126790395 653.001016700684
12 10000008 5 4717.233251583334 2119888.3893739004 429.45539423957314
12 10000008 5 4900.917151333334 2040436.043135195 375.2218173084193
12 10000008 5 4856.307217166666 2059179.4449598975 439.4493768308831
12 10000008 5 4763.074234249999 2099486.0689116716 492.75088995828185
12 10000008 5 4925.713849416667 2030164.2169457858 472.54224820922923
12 10000008 5 4922.179247166666 2031622.071820376 409.9498744229133
12 10000008 5 4919.903545833333 2032561.7985883094 417.2928738095819
12 10000008 5 5181.500582666667 1929944.393609135 506.1578541781045
12 10000008 5 4934.258794083334 2026648.4627824957 520.6731427734396
12 10000008 5 4916.7467299166665 2033866.8126127964 361.4390494177721
12 10000008 5 4868.308136583334 2054103.339280037 434.96458826306485
12 10000008 5 4801.697281000001 2082598.5927037448 401.08923883132746
12 10000008 5 4959.918100416667 2016163.9360859469 425.14947962405097
12 10000008 5 4983.356422916667 2006681.2708827236 339.71244695269576
12 10000008 5 4998.90631125 2000439.1715633997 438.0699743977652
12 10000008 5 5050.432983166666 1980029.8377051044 555.2859148065527
12 10000008 5 4911.122609916667 2036195.9564617104 529.7137753089755
12 10000008 5 4886.829403166666 2046318.2106418514 542.8237586010189
12 10000008 5 5102.095835749999 1959980.4319492984 437.6064690852945
12 10000008 5 5001.989377250001 1999206.1649474783 462.92120955851556
12 10000008 5 5000.292514 1999884.6011511558 589.3940634364551
12 10000008 5 5149.608045416666 1941896.9194947493 361.93374643410374
12 10000008 5 5029.437358333334 1988295.5661891026 547.5537309768272
12 10000008 5 5121.842776416667 1952423.8514396932 476.13084963362996
12 10000008 5 5090.2313025 1964548.8398707202 576.1835682641935
12 10000008 5 5255.076098500001 1902923.537654266 728.8594354981298
12 10000008 5 4993.6152078333325 2002558.7843278935 581.9724700350082
12 10000008 5 4941.547410833334 2023659.2242496803 789.569115863384
12 10000008 5 5296.968435833333 1887873.813321444 406.2976498649112
12 10000008 5 5053.469952916667 1978839.9046932857 674.0972106585708
12 10000008 5 4929.2080545 2028725.0790460624 432.3573004856207
12 10000008 5 5017.089221666666 1993189.1896229861 405.101139680834
12 10000008 5 5138.4908866666665 1946098.2262220173 417.5143403505757
12 10000008 5 5191.686464666666 1926157.9196004188 412.11026422092596
12 10000008 5 5186.680405166668 1928017.0010164068 454.5974056972614
12 10000008 5 5058.157574666667 1977006.0248981076 536.3361313472008
12 10000008 5 5163.3381549999995 1936733.1171824057 438.28507950570923
12 10000008 5 5077.302157250001 1969551.48428989 373.4932342451748
12 10000008 5 5228.488914333334 1912600.019593819 311.15187496893407
12 10000008 5 5070.918903666667 1972030.748267187 505.5572937063276
12 10000008 5 5154.943261833333 1939887.112635948 440.4062693868576
12 10000008 5 5177.305991499999 1931508.0113900588 511.9744611679317
12 10000008 5 5049.526703666666 1980385.209714524 580.4373058762263
12 10000008 5 5077.839388166666 1969343.1074846312 618.4305697374958
12 10000008 5 5089.272635 1964918.9024042136 479.49996898837355
12 10000008 5 5243.273390083334 1907207.0548358466 472.9914951046713
12 10000008 5 5029.380552499999 1988318.0235842774 623.500641055991
12 10000008 5 5212.950006916667 1918301.1513119729 516.5818051812757
12 10000008 5 5110.31064925 1956829.7675734493 445.96468004997683
12 10000008 5 5589.775855249999 1788981.9303949096 445.7795454413557
12 10000008 5 5485.580165416667 1822962.6946378665 524.6646178018291
12 10000008 5 4951.969615916666 2019400.1126052719 491.2376553449109
12 10000008 5 4975.919057000001 2009680.6007992097 516.2963395766095
12 10000008 5 5058.670751083333 1976805.467692963 549.0858117240703
12 10000008 5 4881.356344666667 2048612.5768969792 431.70194502532456
12 10000008 5 5204.365668666667 1921465.2921499948 387.73147083840377
12 10000008 5 5064.2344235 1974633.7084231542 681.7193927049743
12 10000008 5 5304.910275666668 1885047.527734727 401.99455131874777
12 10000008 5 5169.531857000001 1934412.685059501 666.8853287777204
12 10000008 5 5202.816713666666 1922037.3406067058 595.426420307093
12 10000008 5 5046.517071416666 1981566.26807819 518.2325589259067
12 10000008 5 4936.081248583333 2025900.2022849654 500.7513705547244
12 10000008 5 5273.593952583334 1896241.5555527126 545.1502395891886
12 10000008 5 5050.764876583334 1979899.7269428738 415.36859085063105
12 10000008 5 5254.964771416667 1902963.8513264733 416.83173397561967
12 10000008 5 5079.317938916667 1968769.8467115122 657.6353504747343
12 10000008 5 5038.516284416666 1984712.8470991438 786.2506246923253
12 10000008 5 5181.749792083333 1929851.5754809296 581.3961322793165
12 10000008 5 5167.576319083333 1935144.7143743166 623.1717614113982
12 10000008 5 5307.3641269166665 1884175.9790484817 529.9816355184432
12 10000008 5 5369.535118 1862360.1075775663 638.7859287560937
12 10000008 5 5128.809944999999 1949771.60535045 493.6621904452881
12 10000008 5 5000.709918666666 1999717.6726192287 591.6416471802754
12 10000008 5 4992.812823583333 2002880.611258928 728.1027500430887
12 10000008 5 5001.424549 1999431.9422452212 728.4641284130977
12 10000008 5 5100.7384409999995 1960502.016653004 548.9419387157981
12 10000008 5 5122.963681666667 1951996.6607974607 517.387829063109
12 10000008 5 5399.134448083333 1852150.2096599862 449.23935971886
12 10000008 5 5357.5088235 1866540.6496646903 356.3302207624352
12 10000008 5 5347.640919 1869984.9431681705 489.80837881335765
12 10000008 5 5149.08378725 1942094.6353138995 401.05059649370395
12 10000008 5 4989.062313083333 2004386.2698960376 690.7319557942154
12 10000008 5 5312.966705333333 1882189.0959643428 443.13424680604214
12 10000008 5 5052.34893625 1979278.970272844 701.6407422244819
12 10000008 5 5291.368738416667 1889871.693763738 658.1688563919025
12 10000008 5 5304.812372750001 1885082.3172122904 400.2846673935479
12 10000008 5 5089.025387916668 1965014.3667476925 674.986822879506
