numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
8 10000000 3 3976 2515090.5432595573 314386.31790744467 175 1316 4582 1.0
11 13750000 3 4142 3319652.341863834 301786.57653307583 152 3604 4538 1.0
8 10000000 3 1831 5461496.4500273075 682687.0562534134 173 1191 2371 1.0
11 13750000 3 6108 2251146.0379829733 204649.63981663392 335 4175 6502 1.0
8 10000000 3 2143 4666355.576294914 583294.4470368642 68 2012 2390 1.0
11 13750000 3 5429 2532694.787253638 230244.98065942162 101 3977 7130 1.0
8 10000000 3 1373 7283321.194464676 910415.1493080845 136 1132 1571 1.0
11 13750000 3 4777 2878375.5495080594 261670.50450073267 64 1913 5393 1.0
8 10000000 3 1568 6377551.020408163 797193.8775510204 68 1122 1864 1.0
11 13750000 3 3464 3969399.5381062357 360854.50346420327 142 1659 4989 1.0
8 10000000 3 1517 6591957.811470007 823994.7264337508 73 1203 1625 1.0
11 13750000 3 5063 2715781.1574165514 246889.1961287774 60 2232 6079 1.0
8 10000000 3 1524 6561679.790026247 820209.9737532808 119 1285 1848 1.0
11 13750000 3 5121 2685022.4565514545 244092.95059558676 371 1664 5760 1.0
8 10000000 3 2399 4168403.501458941 521050.4376823676 138 1814 2897 1.0
11 13750000 3 6088 2258541.3929040735 205321.94480946122 180 4156 7293 1.0
8 10000000 3 2003 4992511.2331502745 624063.9041437843 42 1669 2352 1.0
11 13750000 3 6077 2262629.5869672536 205693.59881520487 95 1589 8523 1.0
8 10000000 3 1791 5583472.920156337 697934.1150195422 158 1591 2046 1.0
11 13750000 3 4532 3033980.5825242717 275816.4165931156 271 1465 5010 1.0
