 numberThread numberMessages shift timePrecessingRing throughputRing throughputChain latencyChain minTimeWorkThread maxTimeWorkThread percentWork
 6 1000000 5 836 1196172.248803828 199362.04146730466 45 315 992 1.0
 6 1000000 5 228 4385964.912280702 730994.1520467837 22 201 250 1.0
 6 1000000 5 620 1612903.2258064516 268817.20430107525 27 262 800 1.0
 6 1000000 5 249 4016064.2570281127 669344.0428380187 23 225 299 1.0
 6 1000000 5 256 3906250.0 651041.6666666666 35 228 292 1.0
 6 1000000 5 343 2915451.8950437317 485908.64917395526 30 214 439 1.0
 6 1000000 5 390 2564102.564102564 427350.4273504273 20 284 442 1.0
 6 1000000 5 339 2949852.5073746312 491642.08456243854 13 302 364 1.0
 6 1000000 5 317 3154574.1324921134 525762.3554153523 14 295 344 1.0
 6 1000000 5 340 2941176.470588235 490196.07843137253 12 285 391 1.0
 6 1000000 5 375 2666666.6666666665 444444.44444444444 14 353 406 1.0
 6 1000000 5 438 2283105.02283105 380517.503805175 23 387 471 1.0
 6 1000000 5 448 2232142.8571428573 372023.8095238095 13 402 481 1.0
 6 1000000 5 497 2012072.434607646 335345.405767941 6 468 520 1.0
 6 1000000 5 470 2127659.574468085 354609.92907801416 10 457 491 1.0
 6 1000000 5 264 3787878.7878787876 631313.1313131313 32 195 332 1.0
 6 1000000 5 268 3731343.2835820895 621890.5472636815 30 215 307 1.0
 6 1000000 5 257 3891050.5836575874 648508.4306095979 14 233 280 1.0
 6 1000000 5 274 3649635.03649635 608272.506082725 22 257 289 1.0
 6 1000000 5 252 3968250.0 661375.0 19 215 291 0.999999
 6 1000000 5 297 3367003.3670033673 561167.2278338945 17 279 332 1.0
 6 1000000 5 428 2336448.5981308413 389408.09968847357 10 399 452 1.0
 6 1000000 5 376 2659574.4680851065 443262.41134751774 15 279 426 1.0
 6 1000000 5 462 2164502.1645021643 360750.3607503607 22 422 513 1.0
 6 1000000 5 362 2762430.9392265193 460405.15653775324 14 271 442 1.0
 6 1000000 5 256 3906250.0 651041.6666666666 21 242 282 1.0
 6 1000000 5 250 4000000.0 666666.6666666666 21 205 292 1.0
 6 1000000 5 247 4048582.995951417 674763.8326585694 16 184 289 1.0
 6 1000000 5 246 4065040.650406504 677506.7750677507 13 196 291 1.0
