numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
5 10000000 5 2735.0791846 3656201.274283209 3.8894444703188085
5 10000000 5 2288.2889292 4370077.516171029 102.77010218243981
5 10000000 5 5122.2923478 1952250.9300537973 0.19726215035959369
5 10000000 5 5415.4106168 1846582.042916085 13.480039759801503
6 10000002 5 4986.7571315 2005311.6156053974 639.8024743034017
6 10000002 5 4985.9107435 2005652.0291777663 367.0558594554682
6 10000002 5 5163.475438166667 1936680.4625588728 310.65314181299954
6 10000002 5 5638.968662833333 1773374.2813487174 492.3925279231143
7 10000004 5 5544.649885428572 1803541.1083899399 207.2690223733449
7 10000004 5 5189.925643428572 1926810.6495247958 420.39497949014896
7 10000004 5 5482.134660428571 1824107.6915134077 613.054361155799
7 10000004 5 5683.2275767142855 1759564.2379292904 152.49955489610932
8 10000000 5 5307.932333500001 1883972.773519909 403.5510379562166
8 10000000 5 5367.9802389999995 1862898.064964356 477.6974308653627
8 10000000 5 5464.279376750001 1830067.4820085277 537.1011304159935
8 10000000 5 5544.4221535 1803614.465699974 582.8793630252615
9 10000008 5 4917.006656111112 2033759.2969436944 763.8156167742975
9 10000008 5 4896.331703222222 2042346.9254378958 723.698784063543
9 10000008 5 5014.088778333335 1994381.9190461098 647.1542824119289
9 10000008 5 5170.844194555556 1933921.739612485 727.0371880425723
10 10000000 5 5411.6075606 1847879.7451623178 471.775428194355
10 10000000 5 4777.2743614 2093243.8129991468 500.5107203095979
10 10000000 5 4819.601444599999 2074860.3624069886 454.6226489491913
10 10000000 5 4872.5335081 2052320.4167557196 490.62707177257425
11 10000001 5 4791.665330363637 2086957.3124467575 822.759363860228
11 10000001 5 4940.5525528181815 2024065.3030389922 812.6366834491378
11 10000001 5 5171.790064545456 1933566.6906809937 788.7951217953832
11 10000001 5 4828.559417454546 2071011.2759203995 723.2220118713127
12 10000008 5 4849.48184675 2062077.6231385942 601.5838637354151
12 10000008 5 4828.473358333333 2071049.6378200483 811.121144567598
12 10000008 5 4836.8908475 2067445.455207784 414.75114062557464
12 10000008 5 5277.108022666666 1894978.8325437242 431.5728371877292
13 10000003 5 4471.063255230769 2236605.1270468687 998.0375393442262
13 10000003 5 4860.194273076923 2057531.5384808953 939.3371380952204
13 10000003 5 4762.491913153846 2099741.728144529 904.5108540316384
13 10000003 5 4974.952458384615 2010070.0627091094 934.382453319041
14 10000004 5 4582.395935785714 2182265.378228467 777.8812188300959
14 10000004 5 4421.682527214286 2261583.444413438 996.3921534835766
14 10000004 5 4683.286170071428 2135253.6737782736 517.7690565974589
14 10000004 5 4594.207683357143 2176654.7551225764 676.6707012592212
15 10000005 5 4502.756550799999 2220862.906350847 931.5461223672729
15 10000005 5 4359.3858869333335 2293902.2282871665 1094.6164050054103
15 10000005 5 4503.553424666667 2220469.9394101575 1050.851026938844
15 10000005 5 4521.264206399999 2211771.8725317274 979.1357576195834
16 10000000 5 4849.46313725 2062083.929082247 426.19779860509044
16 10000000 5 4419.3991344375 2262751.042800482 1164.8898318957713
16 10000000 5 4224.185719312501 2367320.156943178 1344.778011063749
16 10000000 5 4496.33580125 2224033.177686586 673.9928791340454
17 10000012 5 4100.295454235294 2438851.568530445 1374.762711572586
17 10000012 5 4436.881908117646 2253837.7642425285 1033.488472396153
17 10000012 5 4486.122321529411 2229099.271771705 1038.0991266876633
17 10000012 5 4391.71436317647 2277017.850670762 1072.0198002457716
18 10000008 5 4351.157175777777 2298241.0416402575 983.7972937081694
18 10000008 5 4483.541052666666 2230381.718943405 802.3712865491707
18 10000008 5 4300.775384888889 2325163.977439001 1196.0455753849405
18 10000008 5 4369.260647777777 2288718.5741793737 1232.3597870062438
19 10000004 5 4241.0750569473685 2357893.662744507 1295.1581199149155
19 10000004 5 4665.495557578947 2143395.8893724196 1203.4969998915703
19 10000004 5 4549.899753473684 2197851.5004347865 1136.963227402001
19 10000004 5 4453.662887789474 2245343.7208767706 898.9208427764131
20 10000000 5 4352.6006628000005 2297477.019995458 1134.8915470183633
20 10000000 5 4334.3588351 2307146.311703398 1209.7022930117275
20 10000000 5 4350.261913349999 2298712.1693321946 1275.9734589667546
20 10000000 5 4281.520655000001 2335618.7686078083 1302.3529259412958
21 10000011 5 4485.208400904761 2229553.2573208385 857.1473053198212
21 10000011 5 4491.616019333333 2226372.636698417 1161.4087896451256
21 10000011 5 4646.37571552381 2152217.4727690197 856.6747987884963
21 10000011 5 4654.987621428571 2148235.7877744674 932.0061713360798
22 10000012 5 4342.6316028636365 2302753.9322943604 1113.8342378325465
22 10000012 5 4342.7875854545455 2302671.22285543 1179.7237345701885
22 10000012 5 4398.2156259090925 2273652.0558682345 1250.3609928456285
22 10000012 5 4319.411011409091 2315133.2377461726 1151.0606969940745
23 10000009 5 4703.680598739131 2125996.6084178 963.2242191604664
23 10000009 5 4697.735339956521 2128687.181447849 1103.1445292648036
23 10000009 5 4603.785014478261 2172127.7098195003 819.8340063103124
23 10000009 5 4379.728396 2283248.6619793577 1073.594542842223
24 10000008 5 4342.141317375 2303013.0226266817 1080.6471777378615
24 10000008 5 4377.480107541666 2284421.117704603 1279.8891705647661
24 10000008 5 4420.595563208333 2262140.4417151203 1116.9560164349475
24 10000008 5 4613.566118875001 2167522.420257079 845.8098281321916
25 10000000 5 4275.4646566 2338927.0648192777 1440.4604591813975
25 10000000 5 4412.60037936 2266237.397516244 989.025397061642
25 10000000 5 4314.09716524 2317982.0984499506 1070.064850779495
25 10000000 5 4512.012008920001 2216306.15792479 850.2659938302003
26 10000016 5 4272.066672499999 2340791.1829587677 1306.1848413000441
26 10000016 5 4247.758836615385 2354186.3803096726 1273.0366561840376
26 10000016 5 4254.456700384616 2350480.144526084 1419.577354724475
26 10000016 5 4284.357852769231 2334075.8040406 1475.2169039984688
27 10000017 5 4426.257731148147 2259248.6943606082 1053.5287083783473
27 10000017 5 4303.950528740741 2323450.7304910463 1272.748190648963
27 10000017 5 4183.264731074074 2390481.5121352472 1383.2982521591555
27 10000017 5 4311.615068851853 2319320.449601945 1113.6451702687737
28 10000004 5 4370.6431354642855 2287993.7094058166 1060.002363568928
28 10000004 5 4150.617699607143 2409280.9128016066 1469.885070465906
28 10000004 5 4151.510783857143 2408762.6217627353 1393.2337510206467
28 10000004 5 4281.2250005000005 2335780.996988504 1187.8901185980178
29 10000012 5 4514.608375344827 2215034.2108547115 1279.513246204853
29 10000012 5 4335.969858379311 2306291.862401872 1495.2490847361607
29 10000012 5 4205.869531241378 2377632.47901997 1296.247566245215
29 10000012 5 4239.516043689654 2358762.6269004475 1063.6806241666807
30 10000020 5 4182.103850766666 2391145.7861494254 1438.1942078222257
30 10000020 5 4298.206798866667 2326556.275197546 1244.2781976183153
30 10000020 5 4155.9360412333335 2406201.611570603 1399.9898160372957
30 10000020 5 4254.4269111333315 2350497.5426493124 1364.1455735479412
31 10000011 5 4396.946079064517 2274308.308581209 1614.2263620087526
31 10000011 5 4468.647304064516 2237816.126348652 1069.7138376095572
31 10000011 5 4273.526710516128 2339990.288440777 1133.020576228844
31 10000011 5 4203.481964483871 2378982.730149019 1121.1273863773135
32 10000000 5 4347.491341156251 2300177.094163094 1442.766085524031
32 10000000 5 4270.699193156249 2341536.9586378024 1222.0480581330485
32 10000000 5 4035.9809466875 2477712.390641344 1565.165499606198
32 10000000 5 4025.023045187501 2484457.8248953014 1390.5305347336646
33 10000023 5 4206.645516848484 2377196.5001443177 1242.6527196676577
33 10000023 5 4237.795510090908 2359722.873882955 1234.2367857271968
33 10000023 5 4218.9747210606065 2370249.565630509 1221.8498100145748
33 10000023 5 4321.769717181817 2313872.2454931997 1321.4228128446264
34 10000012 5 4198.872926117647 2381594.341138156 1273.81536116166
34 10000012 5 4162.95041467647 2402145.354589136 1469.0886282604536
34 10000012 5 4396.059440676469 2274767.2398308585 1562.8930779924835
34 10000012 5 4238.578307676471 2359284.4756198134 1570.7637148625786
35 10000025 5 4365.972068428572 2290446.398480802 1412.2476517377265
35 10000025 5 4164.90669142857 2401020.176653699 1548.9348975185808
35 10000025 5 4104.456177314286 2436382.4506815486 1279.0748651982108
35 10000025 5 4249.642956285714 2353144.747186068 1424.741511792309
36 10000008 5 4096.798426611111 2440932.3961472153 1420.336266234516
36 10000008 5 4167.269341861112 2399654.8290142375 1304.2667643019238
36 10000008 5 4093.2687139722216 2443037.264048984 1662.1418094854869
36 10000008 5 4327.525707888889 2310791.1252313126 1124.9784732390822
37 10000027 5 4146.923314972972 2411432.823918804 1122.001145373628
37 10000027 5 4285.168967108108 2333636.567602753 1290.4527042442699
37 10000027 5 4291.115615459459 2330402.602990522 1504.3458232876135
37 10000027 5 4137.2040400000005 2417097.852394053 1413.2225132457029
38 10000004 5 4476.421699263156 2233928.050533321 1457.1941722344554
