numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
12 10000008 5 3994.7436515833338 2503291.5431348025 679.9156738901354
12 10000008 5 4009.4156962500006 2494131.005012274 785.334817635531
12 10000008 5 3568.4848132499997 2802312.05212626 694.3494125462902
12 10000008 5 3507.213384166666 2851268.7722808914 611.8506011202151
12 10000008 5 3758.4079134166664 2660703.2100752643 471.0225495642452
12 10000008 5 4144.613530416666 2412772.1261853524 376.4521482539829
12 10000008 5 4058.0624415833336 2464232.165954129 891.9710900688408
12 10000008 5 4050.986735916667 2468536.3472900074 859.3040147095894
12 10000008 5 3666.609775333334 2727317.225649106 839.8675888329083
12 10000008 5 3810.7851127500003 2624133.2702130857 549.2420358250706
12 10000008 5 4056.4195146666666 2465230.2267660657 345.5272977912456
12 10000008 5 4310.689351833332 2319816.433941594 392.09012666677245
12 10000008 5 4190.0285945000005 2386620.466773523 728.2854508203329
12 10000008 5 4019.2374614999994 2488036.1252076775 861.7553693742253
12 10000008 5 3647.504159166667 2741602.905336966 810.1572476098598
12 10000008 5 3593.9435518333325 2782461.0642253472 641.6198934021309
12 10000008 5 3696.157003166667 2705514.9419877282 582.430081531652
12 10000008 5 4053.296074166667 2467129.9152643173 758.4767791166873
12 10000008 5 4466.809725666667 2238736.0586548173 418.7635383535394
12 10000008 5 4441.282847833333 2251603.498948164 946.4237289308046
12 10000008 5 4045.407335916667 2471940.9368782523 998.3403084894258
12 10000008 5 4295.212968333333 2328175.1274559717 768.5082427519013
12 10000008 5 4203.367401333333 2379046.8558203927 428.90418631824195
12 10000008 5 4678.283228833333 2137537.9622951546 729.9846808394027
12 10000008 5 4934.1126985 2026708.4704084815 442.43839466194345
12 10000008 5 4623.6293523333325 2162804.8526323712 962.9663208838992
12 10000008 5 3941.50832925 2537101.831243073 903.7922306209471
12 10000008 5 4150.582861166666 2409302.0991247357 669.3256391933706
12 10000008 5 4105.40747775 2435813.7539810254 515.9682259328251
12 10000008 5 4537.785537083333 2203719.8360915747 394.77248851422786
12 10000008 5 4449.537673416667 2247426.3022300233 758.17119871764
12 10000008 5 4467.6217315 2238329.1605671607 644.9999012642069
12 10000008 5 4102.8339676666665 2437341.6225973023 654.5525735505637
12 10000008 5 4203.268058833332 2379103.0836076685 615.9297257999026
12 10000008 5 4945.918273666667 2021870.85323318 415.11337595138195
12 10000008 5 4865.608414249999 2055243.0751954447 380.37530592736783
12 10000008 5 4688.443978916667 2132905.5108621875 974.71649877052
12 10000008 5 4642.861293166667 2153845.951572567 843.6715047846433
12 10000008 5 4061.2101032499995 2462322.2502075066 731.2877166474503
12 10000008 5 3981.9945449166667 2511306.303210738 782.7673536505731
12 10000008 5 4054.488066166667 2466404.595797602 592.1575223326005
12 10000008 5 4697.69199875 2128706.6079812986 477.10164950353385
